iteration,norm,alpha,lam,rms,timestamp
1726,2,0.21,0.301,4.625725033382084,15-02-2017 23:29:19
1729,2,0.21,0.301,4.625725033382096,15-02-2017 23:29:19
1734,2,0.21,0.301,4.62572503338207,15-02-2017 23:29:20
1697,2,0.21,0.301,4.625725033382186,15-02-2017 23:29:20
1712,2,0.21,0.301,4.625725033382127,15-02-2017 23:29:21
1713,2,0.21,0.301,4.625725033382136,15-02-2017 23:30:34
1718,2,0.21,0.301,4.625725033382127,15-02-2017 23:30:36
1701,2,0.21,0.301,4.625725033382141,15-02-2017 23:30:37
1725,2,0.21,0.301,4.6257250333820945,15-02-2017 23:30:37
1692,2,0.21,0.301,4.625725033382211,15-02-2017 23:30:38
1684,2,0.21,0.301,4.6257250333823485,15-02-2017 23:30:38
1723,2,0.21,0.301,4.625725033382109,15-02-2017 23:30:39
1714,2,0.21,0.301,4.625725033382127,15-02-2017 23:30:39
1700,2,0.21,0.301,4.625725033382206,15-02-2017 23:30:39
1699,2,0.21,0.301,4.6257250333822,15-02-2017 23:30:40
1714,2,0.21,0.301,4.625725033382132,15-02-2017 23:30:40
1723,2,0.21,0.301,4.625725033382106,15-02-2017 23:30:41
1727,2,0.21,0.301,4.625725033382085,15-02-2017 23:30:42
1745,2,0.21,0.301,4.625725033382047,15-02-2017 23:30:42
1716,2,0.21,0.301,4.625725033382132,15-02-2017 23:30:43
1739,2,0.21,0.301,4.62572503338206,15-02-2017 23:30:43
1713,2,0.21,0.301,4.625725033382136,15-02-2017 23:30:53
1713,2,0.21,0.301,4.625725033382136,15-02-2017 23:33:47
1713,2,0.21,0.301,4.625725033382136,15-02-2017 23:36:14
1713,2,0.21,0.301,4.625725033382136,16-02-2017 19:31:13
